,zone,agg_value,CA,total,owner,mean_value
0,0,2292697200.0,12.0,25256.0,7102.0,322824.0
1,1,3892887000.0,28.0,26441.0,12686.0,306865.0
2,2,3711056700.0,36.0,31816.0,9709.0,382229.0
3,3,3521521300.0,44.0,19015.0,7358.0,478598.0
4,4,6108332800.0,70.0,14581.0,8431.0,724509.0
5,5,12486481700.0,204.0,55062.0,20862.0,598528.0
6,6,14017414300.0,140.0,32632.0,14780.0,948404.0
7,7,13269893152.0,160.0,61194.0,24940.0,532073.0
8,8,1491660500.0,27.0,4554.0,3679.0,405453.0
9,9,5036957300.0,80.0,17369.0,13737.0,366671.0
10,10,2312779600.0,66.0,10758.0,7057.0,327728.0
11,11,3196286500.0,48.0,7112.0,6428.0,497244.0
12,12,1370537900.0,52.0,6897.0,3581.0,382725.0
13,13,2724975900.0,154.0,17100.0,7148.0,381222.0
14,14,4359531200.0,210.0,23104.0,14133.0,308465.0
15,15,4501389400.0,240.0,21477.0,11150.0,403712.0
16,16,3827104000.0,187.0,16295.0,12749.0,300189.0
17,17,709355100.0,36.0,4750.0,2815.0,251991.0
18,18,3173237800.0,323.0,22910.0,12068.0,262946.0
19,19,1022842600.0,120.0,7442.0,3742.0,273341.0
20,20,2477719000.0,210.0,13996.0,6108.0,405651.0
21,21,6455466400.0,594.0,31839.0,11856.0,544489.0
22,22,1846494300.0,345.0,18562.0,7274.0,253849.0
23,23,9581967400.0,744.0,39555.0,16447.0,582597.0
24,24,3877527900.0,600.0,34591.0,13975.0,277462.0
25,25,288917900.0,260.0,5820.0,1408.0,205197.0
26,26,298146000.0,324.0,7181.0,1345.0,221670.0
27,27,4892359600.0,560.0,30910.0,10986.0,445327.0
28,28,427196500.0,435.0,10991.0,2255.0,189444.0
29,29,1469894900.0,540.0,19415.0,7869.0,186796.0
30,30,1257064300.0,341.0,13378.0,4163.0,301961.0
31,31,1846497000.0,160.0,14484.0,4659.0,396329.0
32,32,772113500.0,99.0,2500.0,1491.0,517849.0
33,33,795924400.0,170.0,5560.0,2147.0,370715.0
34,34,461991000.0,350.0,10332.0,1665.0,277472.0
35,35,418110000.0,108.0,3395.0,822.0,508650.0
36,36,16492300.0,74.0,1130.0,134.0,123077.0
37,37,639357500.0,570.0,9003.0,2074.0,308273.0
38,38,1256432500.0,273.0,9992.0,3163.0,397228.0
39,39,56983100.0,240.0,4944.0,369.0,154426.0
40,40,1903444900.0,492.0,14111.0,4990.0,381452.0
41,41,658773800.0,462.0,11459.0,2763.0,238427.0
42,42,1214612300.0,645.0,24216.0,5491.0,221201.0
43,43,1122778600.0,440.0,14665.0,5746.0,195402.0
44,44,496578000.0,90.0,4148.0,2694.0,184327.0
45,45,802999400.0,460.0,9910.0,4384.0,183166.0
46,46,113547000.0,47.0,1042.0,556.0,204221.0
47,47,728173900.0,240.0,5583.0,4029.0,180733.0
48,48,946091400.0,686.0,12470.0,6348.0,149038.0
49,49,233705400.0,150.0,3289.0,1618.0,144441.0
50,50,317205600.0,204.0,5530.0,2729.0,116235.0
51,51,736248000.0,312.0,7333.0,4955.0,148587.0
52,52,1416972300.0,477.0,10578.0,6439.0,220061.0
53,53,25715000.0,108.0,2905.0,255.0,100843.0
54,54,420715200.0,110.0,3793.0,2518.0,167083.0
55,55,2767934100.0,616.0,12757.0,10907.0,253776.0
56,56,578471400.0,285.0,4365.0,2851.0,202901.0
57,57,1383511100.0,580.0,12698.0,6447.0,214598.0
58,58,925993500.0,295.0,5477.0,3663.0,252796.0
59,59,2924277800.0,600.0,13390.0,6707.0,436004.0
60,60,897599700.0,1037.0,12393.0,4390.0,204465.0
61,61,788695800.0,248.0,5465.0,3946.0,199872.0
62,62,916955200.0,504.0,9330.0,5068.0,180930.0
63,63,1456575400.0,448.0,9022.0,6278.0,232013.0
64,64,1397983500.0,390.0,9530.0,6702.0,208592.0
65,65,1313659700.0,726.0,17181.0,7630.0,172170.0
66,66,750691500.0,1273.0,9763.0,4283.0,175272.0
67,67,184807200.0,748.0,9107.0,1688.0,109483.0
68,68,852875900.0,828.0,12361.0,4236.0,201340.0
69,69,2284004300.0,560.0,13442.0,11254.0,202950.0
70,70,1358770300.0,1065.0,17709.0,8146.0,166802.0
71,71,2199668400.0,504.0,7422.0,6331.0,347444.0
72,72,969873100.0,584.0,9482.0,6484.0,149579.0
73,73,1564954000.0,296.0,7108.0,5890.0,265697.0
74,74,1474998900.0,525.0,10989.0,7316.0,201613.0
75,75,1239256600.0,456.0,9594.0,4388.0,282419.0
76,76,4683267100.0,1309.0,29476.0,11054.0,423672.0
