,zone,total,white,black,asian,hispanic
0,0,55475,43.90626408292023,27.376295628661556,4.858044164037855,19.625056331680938
1,1,78466,40.57298702622792,11.579537634134528,23.768256314837,18.906277878316725
2,2,58979,54.21251631936791,17.76225436172197,10.524084843757947,14.596720866749182
3,3,42103,64.52034296843455,3.491437664774481,9.072987673087427,18.077096643944614
4,4,35543,77.7340123231016,2.110120136173086,4.887038235376868,11.450918605632614
5,5,101365,77.62837271247473,3.9895427415774676,6.92842697183446,8.585803778424506
6,6,69465,78.66119628589936,4.914705247246816,7.190671561217879,6.247750665802922
7,7,93318,70.10008787157889,8.196703744186545,13.401487387213615,5.633425491330719
8,8,11264,83.2919034090909,0.3728693181818182,3.4357244318181817,10.040838068181818
9,9,43405,79.0899665937104,0.7994470683101026,4.0364013362515845,13.498444879622163
10,10,27503,62.02959677126132,1.0653383267279932,9.544413336726903,24.74639130276697
11,11,19384,70.28992983904251,1.1917044985555099,10.684069335534462,15.131035905901774
12,12,18914,48.26054774241303,2.7651475097811145,25.18769165697367,20.127947552077828
13,13,49806,32.20495522627796,4.941171746375939,14.839577560936434,44.97249327390274
14,14,64605,46.888011763795376,1.5184583236591596,5.248819750793282,43.35577741660862
15,15,53530,42.78348589575939,3.269194844012703,8.460676256304875,41.894264898187934
16,16,43445,62.33168373805962,1.6618713315686502,5.775117965243411,29.58913568880193
17,17,14267,31.45720894371627,2.712553445012967,3.210205369033434,59.94252470736665
18,18,78601,13.251739799748094,2.374015597765932,1.8511214870039823,81.17708426101449
19,19,23481,10.702269920361143,3.875473787317406,2.2060389250883694,82.45815765938418
20,20,38118,34.718505692848524,2.08562883677003,4.173881106039142,56.3277191877853
21,21,73277,50.476957299016064,4.002620194604037,3.8893513653670317,38.85666716705105
22,22,55364,7.703561881366953,31.964814681020158,0.6267610721768658,58.373672422512826
23,23,83757,63.39171651324666,6.837637451198109,4.9249614957555785,22.1676994161682
24,24,93727,5.641917483756015,77.76414480352514,0.4694485046998197,15.057560788246715
25,25,16415,2.4794395370088336,93.06122448979592,0.0,2.954614681693573
26,26,18940,5.955649419218585,88.34741288278775,0.6282998944033791,2.8352692713833156
27,27,63170,43.196137406996996,26.72946018679753,17.802754472059522,9.243311698591103
28,28,32073,3.6136314033610826,85.8104948087176,0.1527764786580613,9.247653789792038
29,29,72157,4.3128178832268524,12.331443934753384,0.13165735826045985,82.97601064345803
30,30,33203,20.913772851850737,3.4334246905400114,3.996626810830347,70.2556997861639
31,31,38655,61.71258569395939,7.760962359332558,18.39606777907127,8.790583365670676
32,32,24729,53.26135306724898,23.842452181649076,14.032108051275829,5.56836103360427
33,33,13538,13.87206382035751,8.383808538927463,73.02408036637613,4.321170039887724
