,zone,total,white,black,asian,hispanic
0,0,54872,43.938620790202656,26.266584050153085,5.43993293483015,20.604315497885988
1,1,77212,41.70336217168315,13.365798062477335,22.00046624876962,18.36243071025229
2,2,58424,54.078803231548676,17.518485553881966,9.937696836916336,15.142749554977405
3,3,41713,64.48109702011364,3.576822573298492,8.954043104068276,18.521803754225303
4,4,35705,77.53255846520095,1.6552303598935725,4.976893992438034,11.412967371516594
5,5,100547,78.37628173888828,3.5983172048892555,6.7918485882224235,8.12356410434921
6,6,68697,79.06895497619983,4.564973725199063,7.437005982794008,5.930389973361282
7,7,89995,71.0061670092783,8.132674037446524,12.469581643424634,5.826990388354909
8,8,11724,83.21392016376663,1.9020812009553054,2.456499488229273,9.962470146707608
9,9,42525,80.87007642563198,0.6631393298059964,3.508524397413286,12.72663139329806
10,10,27989,61.30622744649684,1.0968594805102003,10.339776340705278,24.68827039193969
11,11,19092,69.48983867588518,1.1261261261261262,12.214540121516865,15.027236538864447
12,12,18451,52.48496016476072,3.0675844127689555,24.64907051108341,16.118367568153488
13,13,50343,32.03424507875971,4.969906441809189,14.307848161611346,45.65878076395924
14,14,64961,49.004787487877344,1.4069980449808346,5.415557026523606,41.56339957820847
15,15,53665,42.93301034193608,3.042951644461008,8.230690394111619,42.193235814776855
16,16,44035,61.67593959350517,2.2459407289655955,5.752242534347678,29.75814692857954
17,17,13811,29.961624791832598,3.0048512055607848,3.287234812830352,61.29896459344001
18,18,80701,12.899468408074249,2.3432175561641118,1.810386488395435,81.97172277914771
19,19,23489,10.072800034058496,3.214270509600239,2.1158840308229383,83.5242028183405
20,20,37909,34.754279986282945,1.9599567385053682,3.740536548049276,57.11836239415442
21,21,73689,48.372212949015456,4.558346564616158,3.3410685448303,41.158110437107304
22,22,56162,7.1382785513336415,33.045475588476194,0.8635732345714183,57.11335066415014
23,23,83290,62.475687357425855,7.09568975867451,4.7964941769720255,22.78304718453596
24,24,94762,4.8152212912348835,79.14142799856482,0.5276376606656676,14.369684050568793
25,25,16943,2.1129670070235496,93.73192468866198,0.32461783627456764,2.638257687540577
26,26,19738,5.9479177221603,87.69885500050664,0.6332961799574425,3.556591346640997
27,27,62733,41.349847767522675,28.080914351298357,18.58352063507245,9.388997816141424
28,28,33854,3.004076327760383,87.38996868907662,0.16541619897205648,8.832043480829444
29,29,74943,4.080434463525613,12.17458601870755,0.1494469129872036,83.18989098381437
30,30,32789,18.002988807221936,3.5103235841288236,3.3181859770044833,74.03397480862485
31,31,37647,62.283847318511434,8.93298270778548,17.419714718304245,8.250325391133424
32,32,24343,47.49209218255761,24.561475578194962,20.5685412644292,4.070985498911392
33,33,13719,12.194766382389387,10.153801297470661,72.91347765872148,4.242291712223923
34,34,21268,11.27985706225315,68.21515892420538,14.22324619146135,3.399473387248449
35,35,6850,2.2627737226277373,91.73722627737226,1.416058394160584,3.9416058394160585
36,36,2320,1.9396551724137931,91.9396551724138,0.0,6.120689655172414
37,37,23200,2.6508620689655173,92.69827586206897,0.6896551724137931,1.7370689655172415
38,38,17440,18.262614678899084,67.3394495412844,7.947247706422019,2.5802752293577984
