,zone,CA,total,white,black,asian,hispanic
10,10,66.0,27172.0,57.22802885323127,2.5577800677167675,11.990284116001765,24.93007507728544
11,11,48.0,20311.0,72.69952242627149,0.4923440500221555,12.633548323568512,11.575008616020876
12,12,52.0,18847.0,45.68896906669496,3.3055658725526604,28.062821669231177,19.10118321218231
13,13,154.0,48647.0,34.68250868501655,4.207864822085637,12.526980080991635,45.62049047217711
14,14,210.0,65563.0,46.43320165337156,1.5191495203087106,6.274880649146622,42.90834769610908
15,15,240.0,54280.0,45.37030213706706,3.131908621960206,7.910832719233604,39.968680913780396
16,16,187.0,44277.0,56.385934006369,2.464033245251485,5.352666169794702,34.30675068319895
17,17,36.0,13776.0,34.66173054587689,6.358885017421604,2.7874564459930316,54.93612078977933
18,18,323.0,78610.0,14.882330492303778,2.9512784632998343,2.4322605266505533,78.43404147055082
19,19,120.0,23201.0,12.154648506529892,3.7756993233050298,3.633464074824361,79.3069264255851
20,20,210.0,36820.0,37.06952743074416,2.32753938077132,4.665942422596415,51.82509505703422
21,21,594.0,72524.0,52.24477414373173,5.751199602890078,4.34063206662622,34.20247090618278
22,22,345.0,55785.0,10.32894147172179,33.860356726718656,1.0235726449762481,52.93537689343013
23,23,744.0,85765.0,63.34052352358188,6.644901766454847,5.4369498046988864,20.236693289803533
24,24,600.0,97313.0,5.333305930348463,74.83378376989714,0.508667906651732,17.627655092330933
25,25,260.0,17289.0,2.5391867661518885,92.31881543177744,0.07519231881543179,4.060385216033316
26,26,324.0,19908.0,5.756479807112719,85.70423950170786,0.7735583684950774,4.872413100261202
27,27,560.0,65019.0,43.559574893492666,24.53129085344284,18.26235408111475,9.932481274704317
28,28,435.0,30533.0,5.066649199227066,80.78144957914388,0.27838731863884975,12.078734484000917
29,29,540.0,70281.0,5.791038829840213,12.499822142542081,0.42828075866877247,80.83977177331
30,30,341.0,33588.0,21.567226390377517,2.881981660116708,4.3319042515184,68.67631296891747
31,31,160.0,27113.0,56.389923652860254,9.836609744403054,19.7027256297717,11.024231918267988
32,32,99.0,5079.0,46.64303996849773,27.111636148848202,18.625713723173853,2.3823587320338646
33,33,170.0,13284.0,16.455886781090033,8.544113218909967,67.92381812707016,5.864197530864197
34,34,350.0,21278.0,11.330952157157629,64.32935426261866,13.962778456621864,5.832315067205564
35,35,108.0,7413.0,3.8580871442061246,88.76298394711992,0.9307972480777014,4.896802913800081
36,36,74.0,2213.0,2.3045639403524625,82.37686398554,0.045187528242205156,13.60144600090375
37,37,570.0,17867.0,2.9215872838193317,89.26512565064084,0.8675211283371578,3.6939609335646724
38,38,273.0,18492.0,20.955007570841445,66.10966904607398,5.705169803158122,2.9580359074194247
39,39,240.0,11607.0,1.8178685276126476,93.88300163694322,0.0,2.2055656069613168
40,40,492.0,28801.0,46.72059997916739,25.165792854414775,14.12450956564008,6.846984479705566
41,41,462.0,25610.0,9.344006247559546,80.3084732526357,3.385396329558766,2.702069504099961
42,42,645.0,52565.0,2.573956054408827,93.03148482830781,0.4622847902596785,2.661466755445639
43,43,440.0,32486.0,0.6987625438650495,96.93406390445115,0.23702518007757187,0.7326232838761313
44,44,90.0,9782.0,0.4702514823144551,93.3653649560417,1.2676344305867921,0.4395829073809037
45,45,460.0,25800.0,4.655038759689923,74.37984496124031,0.44961240310077516,19.468992248062015
46,46,47.0,2652.0,1.6214177978883864,90.08295625942685,0.0,5.203619909502263
47,47,240.0,12843.0,0.6073347348750292,95.16468114926418,0.0,3.1067507591684187
48,48,686.0,35926.0,1.6144296609697713,94.96186605800813,0.20041195791348884,1.6199966598007016
49,49,150.0,7147.0,11.305442843150972,77.54302504547363,0.0979431929480901,8.227228207639568
50,50,204.0,15198.0,5.178312935912619,62.679299907882616,0.006579813133307015,31.912093696539017
51,51,312.0,24429.0,10.5939661877277,1.2812640713905603,0.1883007900446191,87.73588767448524
52,52,477.0,30161.0,0.6365836676502769,90.35177878717549,0.0,6.07075362222738
53,53,108.0,7934.0,0.2898916057474162,95.56339803377868,0.0,2.697252331736829
54,54,110.0,9243.0,39.78145623715244,7.6923076923076925,0.0,52.2557611165206
55,55,616.0,36704.0,39.96294681778553,3.792502179598954,1.163360941586748,54.5199433304272
