,zone,agg_value,CA,total,owner,mean_value
0,0,1581240800,12.0,24832,5770,274045.0
1,1,3448651500,28.0,25714,12246,281615.0
2,2,3065917400,36.0,30510,9288,330094.0
3,3,3136390900,44.0,18347,6943,451734.0
4,4,5799573600,70.0,14093,8316,697399.0
5,5,11738267300,204.0,53480,20410,575123.0
6,6,12852329200,140.0,32395,14468,888328.0
7,7,16003936900,160.0,57169,24122,663458.0
8,8,1423825300,27.0,4662,3725,382235.0
9,9,4604425300,80.0,17093,13032,353317.0
10,10,2103327800,66.0,10381,6816,308587.0
11,11,2972916300,48.0,6971,6309,471218.0
12,12,1141309200,52.0,6559,3217,354774.0
13,13,2507056100,154.0,16909,6809,368197.0
14,14,4042430500,210.0,22481,13622,296757.0
15,15,3756682200,240.0,20561,10060,373428.0
16,16,3031182300,187.0,15476,11967,253295.0
17,17,760783200,36.0,4560,3013,252500.0
18,18,2807710300,323.0,22476,11534,243429.0
19,19,885119900,120.0,7112,3344,264689.0
20,20,2536897100,210.0,13639,5613,451968.0
21,21,5476111300,594.0,30250,11279,485514.0
22,22,1436139800,345.0,17518,6577,218358.0
23,23,8203070900,744.0,37819,15138,541886.0
24,24,2811102200,600.0,32660,13249,212175.0
25,25,214148500,260.0,5353,1183,181022.0
26,26,290682300,324.0,6794,1439,202003.0
27,27,4310823400,560.0,28614,10080,427661.0
28,28,427020400,435.0,11075,2505,170467.0
29,29,1053944300,540.0,18078,6408,164473.0
30,30,1014913200,341.0,12465,3840,264300.0
31,31,4598155800,160.0,20723,7361,624665.0
32,32,3847017400,99.0,14482,8012,480157.0
33,33,566087800,170.0,5396,1856,305004.0
34,34,449653800,350.0,9767,1687,266540.0
35,35,174181000,108.0,3233,480,362877.0
36,36,33123800,74.0,1128,256,129390.0
37,37,624948500,570.0,10702,2268,275550.0
38,38,1224757000,273.0,9571,3308,370241.0
39,39,106342500,240.0,4526,486,218812.0
40,40,1676663300,492.0,13288,4692,357345.0
41,41,446117800,462.0,10652,2434,183286.0
42,42,835189700,645.0,22306,4416,189128.0
43,43,1044926800,440.0,13907,5399,193541.0
44,44,437759800,90.0,4007,2571,170268.0
45,45,1138322900,460.0,10834,4127,275823.0
46,46,46780200,47.0,888,433,108037.0
47,47,607680400,240.0,5319,3787,160465.0
48,48,1094176300,686.0,14003,7423,147404.0
49,49,195504200,150.0,3147,1369,142808.0
50,50,319203200,204.0,5306,2802,113920.0
51,51,691816200,312.0,6976,4658,148522.0
52,52,1308794900,477.0,10598,6734,194356.0
53,53,7652000,108.0,2641,111,68937.0
54,54,390086300,110.0,3530,2589,150671.0
55,55,2342014300,616.0,12301,10190,229835.0
56,56,482497100,285.0,3919,2460,196137.0
57,57,1180262900,580.0,12581,5930,199033.0
58,58,751536900,295.0,5175,3036,247542.0
59,59,2260999200,600.0,12994,6143,368061.0
60,60,758089200,1037.0,12795,4638,163452.0
61,61,739455000,248.0,5177,3827,193221.0
62,62,914034100,504.0,9828,5378,169958.0
63,63,1280847900,448.0,8837,5996,213617.0
64,64,1215841400,390.0,9272,6595,184358.0
65,65,1051767900,726.0,16368,7080,148555.0
66,66,741061900,1273.0,9483,4125,179651.0
67,67,318909000,748.0,8983,2140,149023.0
68,68,645398200,828.0,12134,3695,174668.0
69,69,2093802000,560.0,13124,10983,190640.0
70,70,1125398900,1065.0,17161,7659,146938.0
71,71,2151601800,504.0,7481,6195,347313.0
72,72,986176800,584.0,9287,6291,156760.0
73,73,1467080000,296.0,6692,5739,255633.0
74,74,1499207100,525.0,10486,7237,207159.0
75,75,1070688600,456.0,9064,4109,260572.0
76,76,4448197200,1309.0,29275,10859,409632.0
