dst,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,0.1966284568806104,0.08690697566003823,0.06624468421243467,0.029447261689552827,0.016199878792273786,0.09113370662550438,0.04070559472073015,0.1029100213926457,0.0005205716446438099,0.0018543746147510838,0.003242565667134577,0.00255364995830247,0.00923561435223794,0.010450281523073496,0.005068451286407641,0.009833883257276348,0.0008961084032177026,0.00037035694121425277,0.0024785426065876918,0.001279414887831055,0.007627281062069752,0.020051072999166048,0.0031027105984242995,0.02406025163552733,0.0027012747530522074,0.0006422973525953475,0.0012742350704714152,0.03378535872825124,0.0016290525596067483,0.0012457460749933957,0.0032969537494107956,0.04380571541047463,0.006208011105528419,0.0012664653444319554,0.0018699140668300036,0.0002667605940214548,0.00016575415550847678,0.0010463231066472596,0.001284594705190695,0.0005050321925648901,0.003434218909441253,0.0009997047504105006,0.0018802737015492833,0.00048690283180615054,9.323671247351818e-05,0.0004946725578456103,5.179817359639899e-05,9.323671247351818e-05,0.0004169752974510119,0.00011136607323225783,7.769726039459849e-05,1.8129360758739646e-05,0.00030560922421875406,2.3309178118379546e-05,7.769726039459849e-06,0.006143263388532921,0.0002615807766618149,0.00031078904157839395,0.00039884593669227224,0.0011499194538400577,0.0007407138824285055,6.474771699549873e-05,0.00025381105062235505,0.00010100643851297803,0.00010618625587261794,0.0005024422838850703,0.0004817230144465106,0.0008339505949020238,0.0006397074439155275,0.0001631642468286568,0.00039625602801245227,9.582662115333813e-05,0.00016575415550847678,2.8488995478019446e-05,9.064680379369824e-05,0.023904857114738134,0.12087621790455669
1,0.13974448586517552,0.18782230506368439,0.055661696178937556,0.06747048772910842,0.016833643988816403,0.05058247903075489,0.021501242621932277,0.059467225846536194,0.0011999068033550792,0.005125815470643057,0.007498446722584653,0.00677228953091022,0.03836595215905561,0.03307704255980118,0.010045821683752718,0.017427772600186395,0.003417210313762038,0.0006290773532152843,0.007280987884436161,0.002683286735010873,0.011385523454488972,0.017136533084808947,0.0047336129232680955,0.01897328362845604,0.005397639018328674,0.0004815159987573781,0.0013280521901211557,0.025462100031065547,0.002613389251320286,0.0015610438024231128,0.002360981671326499,0.03324013668841255,0.004337527182354768,0.0011882572227399813,0.002197887542715129,0.00042715128922025475,0.00010096303199751476,0.0011610748679714198,0.0011727244485865175,0.00036890338614476543,0.002197887542715129,0.0006756756756756757,0.0011649580615097856,0.0005785958372165269,0.0001941596769182976,0.0005941286113699906,1.941596769182976e-05,8.543025784405095e-05,0.0003960857409133271,3.494874184529357e-05,5.436470953712333e-05,8.543025784405095e-05,0.00010484622553588071,1.1649580615097857e-05,2.3299161230195714e-05,0.0034754582168375274,0.00018251009630319975,0.0008193538365952159,0.00048928238583411,0.00081547064305685,0.000648493320907114,0.00013202858030444237,0.00020192606399502952,0.00010872941907424665,0.00033783783783783786,0.00033007145076110594,0.00038055296675986334,0.0006213109661385523,0.0005708294501397949,0.00010872941907424665,0.0007378067722895309,0.00011261261261261261,0.0002291084187635912,7.766387076731905e-06,3.883193538365952e-05,0.023372941907424664,0.09182199440820131
2,0.029501077432863735,0.020151043890142505,0.11181288243784432,0.044582596409912384,0.029651003232298592,0.188333485800248,0.06345800044723628,0.1277634628285662,0.0002934988107580655,0.0013048626781321786,0.0027291577727633102,0.0011676424549206155,0.004424081640950581,0.012624260535463804,0.004140747291171149,0.016770090057124272,0.0011422313024740298,0.00031382773271533413,0.0024382000772499033,0.0013175682543554714,0.01196992335996422,0.03481454940944482,0.00354993799678803,0.04210500904637027,0.002097690634465654,0.0003798967290764571,0.0013861783659612531,0.04621526295460552,0.00121338252932447,0.0009846821573051981,0.004544784615071863,0.06124595962676099,0.007201520603362404,0.0014497062470777175,0.0020011282551686284,0.00047137687788416583,0.00012451464698827022,0.0013785550202272774,0.0012730987375739464,0.0005933504096277774,0.003755768331605375,0.0010952206704478462,0.001796568477973613,0.0004891646845967758,0.00010545628265333089,0.00039387286292207925,2.0328921957268605e-05,0.0001473846841901974,0.0003671911528531642,0.00011943241649895306,0.00014357301132320954,3.4305055802890775e-05,0.0001143501860096359,2.1599479579597894e-05,1.778780671261003e-05,0.005589182980626537,0.00021472423817364965,0.0004205545729909943,0.0005247402980219959,0.0018969425301376267,0.0005793742757821553,0.00010164460978634303,0.0002947693683803948,9.783293691935516e-05,0.0001778780671261003,0.0006517960602549247,0.0005793742757821553,0.0005133052794210324,0.0006403610416539611,0.00013340855034457523,0.00036083836474151774,0.00017660750950377103,0.00025538208208818685,5.717509300481795e-05,0.00013976133845622167,0.018885568498302537,0.07016654469313492
3,0.02792147901047479,0.04388905968960534,0.08867139367736095,0.09875159470039,0.05330596218230058,0.12585968573206127,0.044532991839491436,0.08887958226717374,0.000786759205687906,0.0026362485384434755,0.006187558553040885,0.003006630564505782,0.014498156562661135,0.033477209401409386,0.009218397093106295,0.033610353266987344,0.0018930636887628997,0.0005979369963228085,0.005052204499294338,0.002222292156373839,0.019489841123056403,0.048331223204797054,0.0033068094614451676,0.041412583789855406,0.0017696030134087977,0.0004309019649613762,0.0011353540537465472,0.039630876788666794,0.0008279127641392733,0.0009731606174970406,0.004156509403588106,0.044685502085517095,0.005040100511514524,0.001195873992645617,0.0007649720276842408,6.778233156695805e-05,0.00033649086027882745,0.00045268914296504127,0.0005107882843081482,0.00014766865091373003,0.002178717800366509,0.00036311963339441815,0.0006366697572182131,0.00015008944846969284,1.2103987779813938e-05,0.00011861908024217659,7.988631934677198e-05,0.0001549310435816184,0.0001404062582458417,2.904957067155345e-05,4.3574356007330176e-05,1.4524785335776724e-05,3.631196333944181e-05,7.262392667888362e-06,7.262392667888362e-06,0.004868223885041166,7.988631934677198e-05,0.0006608777327778409,0.0003921692040659716,0.0016945582891739511,0.0007165560765649851,0.00011377748513025101,0.0002711293262678322,9.441110468254871e-05,0.00013072306802199054,0.00029533730182746006,0.00024207975559627874,0.00027839171893572054,0.0001549310435816184,4.5995153563292964e-05,0.00026386693359994385,3.631196333944181e-05,4.115355845136739e-05,9.68319022385115e-06,6.294073645503247e-05,0.021777494813441236,0.06413176885256616
4,0.013059253896438906,0.009316209737859522,0.04946847923703894,0.04328173466636377,0.05901610804085714,0.17315878532590812,0.07526215109329586,0.11800461564265499,0.0005456394490952364,0.0020657867080531712,0.0019511387304222655,0.0018258751993070167,0.003426700664745959,0.014091085695117057,0.008638937425558432,0.0339485400429293,0.0020254476048126675,0.0010254624665875455,0.006167636574403353,0.003208020262968491,0.03164708804752371,0.07019640897056732,0.006709029802104852,0.0617867675002707,0.003955355228266247,0.0007048727513603831,0.0019214151806661048,0.057251803051759316,0.001683626782616819,0.0014840543771111683,0.005649597564367409,0.05872524187538614,0.005789722870360738,0.001067924680524918,0.001169833993974612,0.0002568963943211035,0.00019957240550565067,0.0014203610562051096,0.0010849095660998669,0.00031634349383342496,0.0027833981235947662,0.0006241945448793755,0.0006305638769699813,0.0005329007849140246,8.280131717787634e-05,0.00045222257843301693,2.123110696868624e-05,8.704753857161358e-05,0.00028449683338039564,6.369332090605873e-05,1.6984885574948993e-05,3.184666045302936e-05,8.492442787474495e-05,1.4861774878080368e-05,2.123110696868624e-05,0.006802446672767071,0.00018895685202130754,0.0005711167774576599,0.0004904385709766522,0.0018725836346381265,0.0006581643160292734,8.067820648100771e-05,0.0002505270622304976,8.917064926848221e-05,0.00016560263435575268,0.0005605012239733167,0.00032058971522716225,0.0005222852314296816,0.0005329007849140246,8.492442787474495e-05,0.0005265314528234187,0.00010827864554029983,9.978620275282534e-05,4.670843533110973e-05,0.00012101730972151156,0.02303787417172144,0.02462808408367604
5,0.011214558413368072,0.005046627825453343,0.05548573457959948,0.01805488796157108,0.029980115054082768,0.21267056813693824,0.12310488352228369,0.17243302033805938,0.0003608834488058317,0.0011125007271246582,0.0010987236283367368,0.0007351612992110315,0.0017255816231871635,0.005237593722541477,0.003328700146037247,0.01344874460014267,0.0007504691867531665,0.0002927633492433311,0.0025166167119269876,0.0015943164875133562,0.016110403546531385,0.046494646831726515,0.00326211083522896,0.05793920625541517,0.001461137865896782,0.00019326208021945386,0.0008817343224269737,0.060716439752747,0.0009169424637738841,0.0009326330485045724,0.004748506715570265,0.06946719366620845,0.007862513738829069,0.0015537505855266985,0.0012016691720575943,0.0001829292561285128,9.299541681846989e-05,0.0006643623193286573,0.0008752284702215664,0.00024837047537113973,0.0035460721491355636,0.0006448447627124352,0.0007791714758946695,0.00025258014444522685,4.898524013483187e-05,0.00017604070673455204,5.357760639747236e-06,9.529159994979013e-05,0.00011480915656601221,3.82697188553374e-05,4.7071754192065005e-05,4.401017668363801e-05,4.094859917521102e-05,5.013333170049199e-05,1.4925190353581586e-05,0.007460298993659473,0.0001737445236032318,0.0005583551980993727,0.0004963582535537261,0.0016945831509143402,0.000551466648705412,9.184732525280977e-05,0.00027860355326685625,0.00012858625535393367,0.0002250259468693839,0.0002965903211288649,0.0002001506296134146,0.0002709496094957888,0.00032031754681917406,0.00010409363528651774,0.00028357861671805015,0.00012016691720575944,0.00011098218468047846,8.074910678476192e-05,7.309516301369444e-05,0.020868094994626933,0.023715362077464035
6,0.006454848928290549,0.002730466838244067,0.023456107757749593,0.008006837124025138,0.016851757613239867,0.1544308605572451,0.1679536594927185,0.2327933596137317,0.0003175074689736279,0.0006871212250334186,0.0007538367514895337,0.0006603376195218396,0.0008838589818821083,0.003102515467532183,0.0025566168897416357,0.00653471277017962,0.0006593636702305095,0.00023374782991923525,0.0021977165758864763,0.0015286134127426656,0.009936230670150158,0.050832848387748694,0.0037506787209123957,0.07229966471795646,0.0016630184149462259,0.00039931920944536023,0.0012310719042413058,0.07468730140565231,0.0012383765239262817,0.0010708572458174965,0.0047587162374390975,0.07895466022561536,0.008199192109062841,0.0014560541905385695,0.0014745592270738424,0.0001889461625180485,5.989788141680403e-05,0.0007017304644033708,0.001034334147392616,0.00029900243243835507,0.004005366460595229,0.0006953997940097249,0.0009525224069208836,0.00025225286645450803,7.596804472375146e-05,0.0001943028836203643,1.1687391495961763e-05,7.986384188907205e-05,0.0001373268500775507,2.970545338556948e-05,4.090587023586617e-05,3.749704771621065e-05,4.821048992084227e-05,2.0452935117933086e-05,1.3635290078622056e-05,0.007465808292691241,0.00014219659653420144,0.0006905300475530742,0.0005444376538535521,0.001902122965967777,0.0005765779804674469,0.00012953525574690953,0.000337960404091561,7.402014614109116e-05,0.00024153942424987642,0.00035549149133550363,0.00030241125495801064,0.0002434873228325367,0.0003418562012568816,0.00015826675984114888,0.000304846128186336,0.00013050920503823968,0.00015096214015617276,5.1619312440497785e-05,9.690795448734962e-05,0.020841053910528148,0.011292455058327388
7,0.005995390875278589,0.0027797876557508856,0.016808003044607858,0.005211483501008823,0.008636997130180072,0.06945115930567639,0.07912187863385754,0.28157758308527736,0.00019325608806145675,0.0006086247619751168,0.0006701303258376794,0.00041965592501399954,0.0006399546738622131,0.002519089809995627,0.0021061945501783166,0.004800402078195503,0.0005238691056068669,0.00020595294708938524,0.001903704382823821,0.0010948979733174683,0.006707074557934943,0.02867082683924721,0.004007590413178878,0.07844317380581918,0.0026806861976238078,0.0007448274315474405,0.0018746829907599846,0.11720618973526555,0.002136535096426873,0.002288402721942745,0.00865661954867778,0.13481706299554852,0.025955842632820688,0.003892494210562072,0.0043093469329335415,0.0007776413918923465,0.0001653889559092501,0.0026340211183393434,0.002835027237236029,0.0009961263037365701,0.009618118055065452,0.0021457691757199118,0.0024948503518514,0.0007717051980611071,0.0002717457620522873,0.0005507468721205337,6.777154623998185e-05,0.0003134640131440523,0.000606975819244217,0.00013521330393378373,0.0002095806210973648,0.00011855898235169574,0.00019144225105746697,7.387263434431112e-05,5.952683258548284e-05,0.011544742741848782,0.00047209230385661323,0.0015112560128696683,0.0010599403874223924,0.003973457298649252,0.0011931749600790965,0.00031461827305568214,0.0006592473038137407,0.00028460751535330575,0.0004976509161855601,0.0007306465240617021,0.0006572685725366609,0.0008307373478273201,0.0009769985680581324,0.00043713471796153744,0.0008345299161083896,0.00024997971800440994,0.000365900391986666,9.992592949252798e-05,0.00023810733034193137,0.0309321869004032,0.009438877980216644
8,0.011260518066325689,0.013611615245009074,0.009280646757960732,0.012415442996205247,0.012002969806962548,0.04417587856789309,0.030193037452565585,0.06591321564098333,0.0819996700214486,0.23086124401913877,0.0544464609800363,0.02755320904141231,0.007300775449595776,0.01571522851014684,0.05003299785513941,0.02639828411153275,0.03778254413463125,0.0054446460980036296,0.008538195017323873,0.0019386239894406863,0.013034152780069296,0.023634713743606664,0.001979871308364956,0.029079359841610294,0.0035885167464114833,0.00016498927569707968,0.00045372050816696913,0.03159544629599076,0.00032997855139415937,0.00028873123246988945,0.0029285596436231646,0.03617389869658472,0.003341032832865864,0.0009486883352582082,0.0004124731892426992,0.0002474839135456195,4.124731892426992e-05,0.000536215146015509,0.00028873123246988945,4.124731892426992e-05,0.0004124731892426992,0.00012374195677280976,0.0006599571027883187,0.0,0.0,4.124731892426992e-05,0.0,0.0,8.249463784853984e-05,0.0,4.124731892426992e-05,4.124731892426992e-05,4.124731892426992e-05,0.0,0.0,0.003176043557168784,0.00012374195677280976,0.00012374195677280976,0.00028873123246988945,0.001979871308364956,0.0002062365946213496,4.124731892426992e-05,0.0002062365946213496,4.124731892426992e-05,0.0,8.249463784853984e-05,4.124731892426992e-05,0.00012374195677280976,0.00016498927569707968,4.124731892426992e-05,4.124731892426992e-05,0.00012374195677280976,4.124731892426992e-05,0.0002474839135456195,0.00012374195677280976,0.08575317604355717,0.009610625309354892
9,0.008602948618467663,0.015597764357927646,0.01308997672143315,0.013123713774838905,0.012336515862037944,0.03903377079045916,0.02195157608267827,0.0550926082115988,0.0629870787085456,0.18102178289081564,0.07712290408555716,0.01936506865490368,0.007669556807575093,0.019522508237463872,0.06461770295649044,0.027664383792719544,0.05381060018218009,0.01129066720645952,0.025505212374751188,0.003812287034850376,0.01428201927510318,0.022896213578039427,0.003969726617410569,0.023604691699560292,0.011054507832619232,0.001000865917704081,0.0011133227623899328,0.02585382859327733,0.0011020770779213477,0.0011245684468585181,0.0022716282626542065,0.030070960268996774,0.0053641914915151315,0.0014731846653846586,0.00093339181089257,1.124568446858518e-05,8.996547574868144e-05,0.0009671288642983256,0.00037110758746331093,0.0003373705340575554,0.0013157450828244661,0.0004835644321491628,0.00035986190299472576,0.00021366800490311844,0.0,0.00037110758746331093,0.0,0.0,0.0001124568446858518,2.249136893717036e-05,1.124568446858518e-05,2.249136893717036e-05,2.249136893717036e-05,0.0,0.0,0.0037110758746331097,0.00017993095149736288,0.00032612484958897026,0.00021366800490311844,0.0009671288642983256,0.0005060558010863332,4.498273787434072e-05,0.00014619389809160735,6.747410681151108e-05,0.00014619389809160735,0.00024740505830887397,0.00024740505830887397,0.0003486162185261406,0.00017993095149736288,2.249136893717036e-05,5.62284223429259e-05,6.747410681151108e-05,8.996547574868144e-05,0.00010121116021726662,7.871979128009626e-05,0.09978295828975631,0.0084230176669703
