dst,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,0.19840380133431054,0.0956909041922824,0.07187415804853785,0.02873044553009735,0.015619082788675128,0.08576553288579983,0.0367397001663649,0.0812719849423752,0.0006594305158065495,0.0021930774868537816,0.004325864183690965,0.0025811994475856367,0.010370015882854995,0.013182958054566932,0.00666024820964615,0.011675688304151962,0.0017013307307808976,0.0004597172738765659,0.003871799171378455,0.001850173618634376,0.008904196050576437,0.019212037056226813,0.00455195464625321,0.022239765167372885,0.00507949905889845,0.0013395859906813047,0.002085684517136715,0.02876247501229367,0.0022138024459219877,0.0017936510029938145,0.00384919012512223,0.03754043722127285,0.007012572513805649,0.0009853775993337868,0.0024323565597321583,0.0005727625051576887,0.00022797454975026426,0.002119598086521052,0.0018803190136426754,0.0011266841384351902,0.003672085929448471,0.0013923404319458287,0.0030051190648898466,0.0011926271900158452,0.00022985863693828295,0.000898709588684926,5.652261564056138e-05,0.00028826533976686303,0.0011832067540757515,0.00017333602129772157,0.00022043820099818938,6.971122595669237e-05,0.0005520375460894828,7.53634875207485e-05,5.463852845254267e-05,0.0052980531727086205,0.00033348343227931215,0.0006405896439263623,0.0006613146029945682,0.0011624817950075458,0.0008761005424287014,0.00012434975440923503,0.0004465286635604349,0.00016014741098159058,0.0002826130782028069,0.0008421869730443646,0.0009533481171374687,0.001305672421296968,0.0016353876792002426,0.000327831170715256,0.001239729369716313,0.00018652463161385256,0.0003711651760396864,6.405896439263624e-05,0.00030522212445903147,0.021122501464877787,0.12103941321988616
1,0.14428905632283534,0.1835376142202321,0.05771942647382478,0.0645692440203348,0.017172093174908094,0.04916055091987534,0.02016905817046563,0.048742117003904475,0.0016954724906871283,0.005249443673088993,0.007409540836704805,0.006936764853724741,0.03546635003355623,0.036074981184059295,0.011642787856721706,0.020239702857577594,0.004276720673624263,0.0011085781669877377,0.009719078684595926,0.002744274383964743,0.01055322941318719,0.018750730221525437,0.006192278535698662,0.01707699455764199,0.008170329774833646,0.0012199794043566035,0.0020459788228964866,0.022217754096712578,0.0029562084453006337,0.0022443273674800767,0.0028909979648895907,0.02473650890258913,0.003972405098372727,0.0010977097535858971,0.0030078334089593765,0.0005624403935452493,0.00027986164509739457,0.001999788065938664,0.0017172093174908094,0.0013340977450759294,0.002075866959751548,0.0016112422868228638,0.002613853423142656,0.0012444333345107447,0.00035594053891027856,0.0007553547314279193,2.9888136855061557e-05,0.00013042096082208678,0.000806979695086662,0.0003151839886533764,0.00014944068427530778,8.151310051380425e-05,0.000307032678601996,8.423020386426439e-05,5.705917035966297e-05,0.003037721545814438,0.0003396379188075177,0.0013205122283236287,0.0005814601169984703,0.0011112952703381978,0.001442781879094335,0.00015215778762576792,0.0005488548767929486,0.00019291433788267003,0.0004401707427745429,0.0008694730721472453,0.000940117759259209,0.0016356962169770052,0.0014672358092484763,0.00026084192164417357,0.0017552487643972513,0.00014672358092484764,0.0012743214713658063,3.2605240205521696e-05,0.0002445393015414127,0.02151130722559294,0.08912642410179356
2,0.03663091508909486,0.02149157708952495,0.11636093006293771,0.040106313293224706,0.027465258405320422,0.18002404139162595,0.06100825196488332,0.11707146913119008,0.0003736028294716146,0.0013616188002493327,0.0033257588745536832,0.0014587357161332008,0.004963863588390763,0.014116637415976525,0.005334493451049606,0.017250144436637655,0.0010811689309112242,0.00036666590690848116,0.0037796318079701277,0.0017966629438515578,0.012089074049666384,0.03296722898682282,0.005139268630344279,0.042492614654942605,0.0033416146975551314,0.0009097278447080695,0.0018323385456048154,0.04070189764471659,0.002120716326443648,0.001582609333332012,0.00516206137590886,0.04936314095925747,0.007921965567098375,0.00111288057691412,0.0024784633329138148,0.0005916203957415223,0.00014468438488821148,0.0020027886428703795,0.0015717084550185166,0.0009790970703394037,0.003741974228341689,0.0016470236142753939,0.0033505335979934457,0.0010395473955324237,0.00024873822333521293,0.0006431518204962278,6.342329200579134e-05,0.00021702657733231723,0.0007055841235644286,0.00010306284950941093,0.00016252218576484032,7.432417031928673e-05,0.00022891844458340312,6.73872477561533e-05,2.675670131494322e-05,0.004990620289705706,0.00018035998664146913,0.0007660344487574485,0.0006966652231261142,0.002102878525567019,0.0009414394907109652,0.00012090065038603974,0.00045387293341644426,0.00014171141807544003,0.0002695489910246132,0.0007759443381333534,0.0009017999332073456,0.0010534212406586906,0.0013992763798777715,0.0004409900772277679,0.0007749533491957629,0.00019621580964291696,0.00038747667459788145,4.6576480066753016e-05,0.0003527920617822143,0.017251135425575246,0.08356216919550527
3,0.032858309116827196,0.05215537479537581,0.09055915806927824,0.08446378944964024,0.046563371106852956,0.11557512615847959,0.04563912541400708,0.08254127380937273,0.0008671412678874324,0.0038746409823653075,0.007704867411985161,0.003923285492515091,0.01635513030383784,0.041500112093871215,0.01221400200499981,0.0367689047371293,0.0031301684792034144,0.0005879640792017224,0.006586043678540157,0.0030244195440951908,0.019815235460578912,0.045952142261927426,0.007203617459572182,0.044537221510179394,0.003656798176042367,0.0008967509697177349,0.0015291296016649112,0.03454394714245228,0.0011061338612320174,0.0017110177700510555,0.004217267532115951,0.03648126763363493,0.004589503783696898,0.0010151897770389452,0.0011251686695514975,0.0001776582109818154,0.00026437233777055867,0.0008269566725463075,0.0006112288449255316,0.0004124208469220715,0.002315901678870094,0.0004885600801999923,0.001163238286190458,0.0002051529341099535,5.49894462562762e-05,0.0001776582109818154,1.9034808319480222e-05,7.190927587359195e-05,0.00041453582562423597,4.441455274545385e-05,0.0001649683387688286,3.8069616638960445e-05,9.728902029956559e-05,1.0574893510822347e-05,6.344936106493407e-06,0.004020574512814656,0.00020726791281211799,0.0005773891856909001,0.0003976159960069202,0.002341281423296067,0.0006873680782034524,0.0002199577850251048,0.0008184967577376496,0.00015227846655584178,0.000171313274875322,0.00046318033577401877,0.00044837548485886745,0.0003024419544095191,0.0003849261237939334,0.00016285336006666414,0.00022207276372726928,0.00010363395640605899,9.305906289523664e-05,7.190927587359195e-05,0.00010574893510822346,0.018066148073888896,0.06714422885761541
4,0.015460814094183343,0.012660916192060915,0.05383324922598508,0.039736338076468196,0.054045628398797424,0.15867452014971759,0.07557191373119032,0.11055407582910685,0.0006293437873246654,0.0023342224681577373,0.003306490424427112,0.0020614418792244456,0.0037156613078270493,0.01674093442939172,0.011443145705751579,0.03558812469190407,0.002766774544894814,0.0010774833262865015,0.008103531924096853,0.005328963648089659,0.03221343912024363,0.06698711891090402,0.010844976842876433,0.06326171543918649,0.00786971999072546,0.0014398918230121602,0.0024959423887396174,0.051832208762881575,0.0026245389520938834,0.0015022416719111982,0.006123924221552395,0.04687929264096424,0.006295386306024749,0.0009625257923789,0.0013424701841074132,0.00037409909339422836,8.962790779236721e-05,0.001254790709093141,0.001506138537467388,0.0006624671445522794,0.0028135369315690924,0.0008962790779236721,0.0022095227703596613,0.0015295197308045274,0.00044424267340564615,0.0007793731112379757,9.93700716828419e-05,0.0003175945428294751,0.0007949605734627352,0.0002182244711466332,0.00015977148780378504,0.00012080283224188623,0.0007150748295608428,7.988574390189252e-05,4.091708833999373e-05,0.0058277624392819635,0.00041501618173422206,0.0009469383301541405,0.0005260768500856336,0.0022991506781520283,0.0014262527935654957,0.00019094641225330406,0.0007579403506789314,0.0001987401433656838,0.0002493993955961522,0.0009975975823846089,0.0009508351957103303,0.0010716380279522167,0.0017302083069483062,0.0006527249806618047,0.001414562196896926,0.0001734105172504496,0.00042865521118088664,0.00012080283224188623,0.0007014358001141782,0.0200980841060493,0.027406655456683415
5,0.01492865327616772,0.006596916261201801,0.06425558740452565,0.017905816055363805,0.027778725894141452,0.19685391771356128,0.12490953228452314,0.168611620965523,0.00043013524009208727,0.0012419937377881646,0.001521668715758971,0.0010434697808225858,0.0018427899233418896,0.00634789059588533,0.004620732170284795,0.013231795875577722,0.0011591012785639404,0.00035908456075703805,0.0034431716465994936,0.001834082732246908,0.01575827444369756,0.04320368906272312,0.004546546902155552,0.06212406702447417,0.00255886931899317,0.00042142804899710575,0.000997147524197284,0.05487271828057356,0.0013151341429860092,0.0014593252275189033,0.004885779067216032,0.05913262445188232,0.008564044873380028,0.0012412971625005659,0.0017703460934316434,0.00022255580438772774,0.0001389667698759051,0.0011476077863185649,0.0009348040359572164,0.00044441503348785694,0.0031363302324123447,0.0008682810959915575,0.0013879262605400549,0.0005590016682978138,5.607431065168101e-05,0.00031171744120033856,1.7414382189963047e-05,0.0001532465632716748,0.000264350321643639,4.0053079036915004e-05,0.00010274485492078197,7.03541040474507e-05,0.0001097106077967672,6.652293996565884e-05,2.7166436216342352e-05,0.007296277849950717,0.00032739038517130527,0.0005875612550893532,0.0005227797533426907,0.0018786635506532134,0.000654084195055012,0.0001595157408600615,0.0003218177828705171,0.00018737875236400238,0.0003723194912214099,0.0005506427648466315,0.00044894277285724736,0.0005293972185748766,0.000738021517210634,0.00015011197447748146,0.0005475081760524382,0.00016613320609224746,0.0001898167658705972,8.881334916881153e-05,0.00011110375837196424,0.020813321305800034,0.03153117696843469
6,0.00827053705835957,0.0033716629123634193,0.027626136942125467,0.009228812948304228,0.016872297611738772,0.15803948900691941,0.15045412139472183,0.22943213523357156,0.00036355929796349985,0.0008848648778558741,0.0010976694188513361,0.0008573357483225802,0.0008721927388643579,0.003902581839076944,0.0033423859015899167,0.007944120236750514,0.0007633871316613393,0.0004199284679602444,0.0035700474331271563,0.0019523833453136026,0.010418683102576596,0.04894460745864622,0.0061713316888684,0.07929001064022705,0.003473913964915654,0.0007821768549935874,0.0017553097354800228,0.06960674856946844,0.001789393419664101,0.0013900025562763138,0.0056124466623115295,0.06739174606781342,0.009359030100699809,0.0011706434606300676,0.0017207890809858924,0.00032248408881858524,0.00010312499317233891,0.0011107785281529046,0.0011378706873761463,0.00044920547873374746,0.0035197958474711437,0.0009858050194779516,0.0013900025562763138,0.0006703124556202029,0.00010530984472260032,0.0004422139537729109,1.9226693642300474e-05,0.00012104077588448252,0.0002626191563414224,5.0688555966064886e-05,0.00015556143037861293,6.161281371737197e-05,0.00011317531030354142,2.0537604572457323e-05,2.5781248293084727e-05,0.007230984690745187,0.00018177964898174993,0.00066594275251968,0.0005654395812076549,0.0018724177785740348,0.0008118908360771427,0.00016779659906007686,0.00038628175408621864,0.00017872085681138394,0.0003307865247095786,0.0006279263355451314,0.0004522642709041134,0.000619623899654138,0.0005449019766351975,0.00016561174750981544,0.0006484639401175888,0.00022067000657640317,0.00026174521572131784,6.685645743799937e-05,0.00012584744929505765,0.02061276346578632,0.01405165426035128
7,0.007523575982440614,0.0033552235005432345,0.02126703083557042,0.006062864255040301,0.009107996194897633,0.07843528126617111,0.08629848133888676,0.25883326163491427,0.00027990275266145514,0.0008336376824577103,0.0010357714405344468,0.0005844159466471883,0.0006822014335089862,0.003488448022911993,0.0030407020604189617,0.006123734079915681,0.0007917999322064376,0.00028416856249099666,0.002632825012871261,0.0014190380467578698,0.0076530269038063165,0.02924918137468675,0.005937843213112968,0.08242118834305118,0.005097970885519774,0.0014231397869785827,0.0026589120806749956,0.10990038677769585,0.0033906625360501947,0.0028318414483802555,0.009029078713051114,0.11389433326540851,0.024049159192475637,0.002966378527619642,0.004701906849807726,0.0008464351119463348,0.0002408541857602674,0.003507808236753758,0.003019044872053597,0.0013448785835673785,0.008374769113042977,0.0028172392531945175,0.0043941122636454236,0.0017278170505731444,0.00036489081003462855,0.0010047622844658567,0.00010090280942953981,0.00043215934965432177,0.0011855669933948858,0.0002506983622899786,0.0003353582804454949,0.00015127217933989546,0.0004269091221718091,0.00013388080080407234,5.988540722240981e-05,0.009812347025598469,0.0006708806304998184,0.0019348728969147367,0.0012626797095442901,0.004056621078285158,0.0017271607721378304,0.0003947514788414192,0.0010438108513670444,0.00040902553480950043,0.0007005772296977805,0.0015327382856760341,0.0011583314383293514,0.001498611807039702,0.0019476703264033612,0.0006546377392257948,0.0018004998872841787,0.00038736834644413577,0.0007575093839612769,0.00012157558014193334,0.0003794930052203668,0.027802251494428033,0.011941970548192658
8,0.011180793107817054,0.02020777904472317,0.013144558469529962,0.013049537564930951,0.010895730394020017,0.04418472063854048,0.03113518307360953,0.05631572279234765,0.0792157608007095,0.2106296718611428,0.06508931965032307,0.03132522488280755,0.005922969720005068,0.01976434815659445,0.0494742176612188,0.026764221462054986,0.031166856708475865,0.005796275180539719,0.0231217534524262,0.0016153553781832002,0.011750918535411124,0.02451539338654504,0.007760040542252629,0.030026605853287723,0.010578994045356645,0.0002533890789306981,0.0002533890789306981,0.027967819586975803,0.0008551881413911061,0.0005701254275940707,0.002913974407703028,0.030565057646015456,0.003737488914227797,0.0006017990624604079,0.0006334726973267452,3.167363486633726e-05,9.502090459901178e-05,9.502090459901178e-05,0.0001583681743316863,0.00034840998352970987,0.0006017990624604079,0.0002533890789306981,0.0003167363486633726,0.000981882680856455,3.167363486633726e-05,0.0004117572532623844,0.0024705435195743063,6.334726973267453e-05,0.00022171544406436082,0.00019004180919802356,3.167363486633726e-05,9.502090459901178e-05,0.00012669453946534905,0.00012669453946534905,0.0,0.002787279868237679,0.0,0.00019004180919802356,0.00012669453946534905,0.000728493601925757,0.0005701254275940707,0.0,0.00019004180919802356,0.00019004180919802356,0.0,0.00012669453946534905,0.00022171544406436082,0.0003800836183960471,0.0002533890789306981,6.334726973267453e-05,0.0011085772203218041,0.00022171544406436082,0.0,0.0004117572532623844,0.0002533890789306981,0.07465475737995693,0.007886735081717978
9,0.011194520187916817,0.015604980452708696,0.01321495449916226,0.014619402739906041,0.009978974342126877,0.03434738329117251,0.020343966621768128,0.04706133578632675,0.05531554913104898,0.1660534183120339,0.07196359932980716,0.020615000492788856,0.008287065935148986,0.030971779624823417,0.06695357928972699,0.03081572982029633,0.052785899668188835,0.011112388711849929,0.02879529550905089,0.004073721212917638,0.02004829330792733,0.02364565195965702,0.00947797233811886,0.027169092282926507,0.01307533098984855,0.001815105621078222,0.00162620322612438,0.022191924833273105,0.0015358586024508032,0.0014947928644173593,0.002849962219521009,0.023744209730937285,0.005092151516147048,0.0009362988271625218,0.0008048884654555012,0.0001231972141003318,0.0005831334800749039,0.0011416275173297414,0.0003778047899076842,0.00036137849469430666,0.0012237589933966294,0.0006077729228949703,0.002086139492098952,0.0008870199415223891,9.855777128026544e-05,0.0019383028351785537,1.6426295213377576e-05,4.106573803344394e-05,0.00031209960905417394,6.57051808535103e-05,0.00010677091888695423,2.463944282006636e-05,0.00011498406649364303,3.285259042675515e-05,1.6426295213377576e-05,0.003162061828575183,0.00018068924734715333,0.00047636256118794966,0.00048457570879463843,0.0016672689641578239,0.001930089687571865,0.0001889023949538421,0.0002546075758073524,0.00022996813298728605,0.0002628207234140412,0.0009937908604093432,0.0006077729228949703,0.0007884621702421235,0.0012812510266434509,0.00048457570879463843,0.00033673905187424027,0.00021354183777390847,0.0007556095798153684,0.0001231972141003318,9.034462367357666e-05,0.09252932093695587,0.013182101908735503
