src,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,0.2042501331697632,0.09681576299548568,0.062466034984638395,0.031029899974711197,0.01654802451399762,0.07883649981436942,0.035659903256875056,0.09781655394317014,0.0007344514212845636,0.002058078158544656,0.0035162198081279293,0.002892070614948373,0.010992558635050281,0.011764674231785335,0.00508466368581621,0.009262696862574185,0.001490425228540836,0.00029324250886453274,0.002356701263902116,0.001084190193324832,0.007072794089952812,0.017559576654667935,0.003050798211489726,0.020104598795822506,0.0027333430184070208,0.0004923245791028393,0.0015227088074983993,0.03616298902896375,0.0015280894039913266,0.0012725110705772843,0.0028759288254695914,0.05046999510365719,0.007078174686445739,0.0009631267722339698,0.0017191005794902423,0.0002744104211392875,0.00011837312284439853,0.001302104351288384,0.0010061715441773875,0.0005434402457856478,0.0035081489133885384,0.0008178506669249353,0.001619559544371089,0.0004223768246947857,9.41604386262261e-05,0.0004465895089129581,4.842536843634485e-05,8.070894739390809e-05,0.00034435817554734116,5.649626317573566e-05,9.954103511915331e-05,2.4212684218172427e-05,9.954103511915331e-05,1.8832087725245222e-05,1.0761192985854411e-05,0.006004745686106761,0.0002744104211392875,0.00039547384223014964,0.00033090668431502316,0.0009523655792481154,0.0006483618773977283,8.608954388683529e-05,0.0002824813158786783,9.14701403797625e-05,0.00010492163161208052,0.00035242907028673197,0.00040354473696954044,0.0005165372633210118,0.0006241491931795559,0.00023943654393526067,0.00041968652644832206,9.14701403797625e-05,0.00012644401758378935,2.959328071109963e-05,9.14701403797625e-05,0.03167019095736953,0.11576891414182176
1,0.12538721092299127,0.18073455173212663,0.05926335574081063,0.06774556365579425,0.01639644419865555,0.04927527567175724,0.020951427215556442,0.06299253789902809,0.0012330963048214065,0.005182741135719063,0.00797402277117843,0.006841816164024229,0.03897705319876391,0.03003523666107414,0.008885766705652439,0.01706904218310359,0.0036656590152418177,0.0007174378500779092,0.006408364129602159,0.002488612542457748,0.010242172640955985,0.015361390633699401,0.00466334602550641,0.019157832590361672,0.005608719859202822,0.0005418150430275877,0.0014386123556249743,0.02990445371965369,0.0023914595002596977,0.0016516017173668536,0.001965480776775939,0.04370765902271513,0.004760499067704461,0.001005160321202904,0.0029930610307937777,0.00034003564769317576,0.00013078294142045222,0.001091103396993487,0.0010873667415243313,0.0003811388578538893,0.0025409257190259285,0.0006613880180405726,0.0013377226579577683,0.0003998221351996682,8.967973125973865e-05,0.0004259787234837586,1.4946621876623109e-05,4.110321016071355e-05,0.0003587189250389546,6.7259798444804e-05,5.6049832037336664e-05,8.967973125973865e-05,7.473310938311555e-05,1.8683277345778888e-05,2.2419932814934664e-05,0.00362829246055026,0.0002765125047175275,0.0005829182531883012,0.00045587196723700484,0.0007249111610162208,0.0006725979844480399,0.0001644128406428542,0.00026156588284090445,0.00016067618517369843,0.00025035591643343707,0.00032135237034739686,0.0003661922359772662,0.0005567616649042108,0.0005193951102126531,0.00010088969766720599,0.00038861216879220085,4.8576521099025106e-05,0.00015693952970454266,1.8683277345778888e-05,9.341638672889443e-05,0.03176157148782411,0.09164147538104545
2,0.031865789437620765,0.017857699030372043,0.10963660442094536,0.04563343503442846,0.029027793177596524,0.18062762324665277,0.060007798883488915,0.12698974309780123,0.0002803113075089793,0.001450143830846453,0.0024804436144461235,0.0012520571735401076,0.004619530347747979,0.012985265591849295,0.004183490536067345,0.01558530869749925,0.0009866958024316072,0.0002541489188081412,0.0021814448864365455,0.00135296924424334,0.011148915070657137,0.031158159114664765,0.0033425566135404064,0.03869666454460625,0.0019484750441957496,0.0004260731874136485,0.0013043819509417837,0.04698017513850493,0.0012881861865079315,0.0009929249425984733,0.004199686300501196,0.07613130529140541,0.007332943804434899,0.001243336377306495,0.0018089423044579465,0.0004036482828129302,9.592875856973958e-05,0.0011498992748035018,0.0010963286693684523,0.0005033145254827895,0.0035593306913473508,0.0011436701346366357,0.001600889022884615,0.0005070520095829093,0.0001320577715375636,0.00033014442884390894,1.4949936400478896e-05,0.00013953273973780304,0.00023172401420742288,8.720796233612689e-05,0.0001357952556376833,3.488318493445076e-05,9.592875856973958e-05,1.9933248533971863e-05,2.3670732634091586e-05,0.005997416152658784,0.00021179076567345102,0.00044226895184750067,0.0005282310861502543,0.0016606887684865307,0.0006079640802861418,0.0001208453192372044,0.00022175738994043695,0.000108387038903472,0.00016071181630514814,0.0004036482828129302,0.00042358153134690205,0.000546918506650853,0.0005481643346842262,0.00013454942760431006,0.00033886522507752166,0.0001843825489392397,0.0002441822945411553,7.2258025935648e-05,0.00010714121087009876,0.02630192144057587,0.0720674142465419
3,0.02869842423691723,0.04385533167250984,0.0885663155716085,0.10296348459952194,0.05145523979716751,0.11907953022421117,0.04150039501349104,0.07977253280631214,0.0007597384076791633,0.002945563859673035,0.006673582557819626,0.003435229145685519,0.015331066738349625,0.03778247250680862,0.00992203216141791,0.03201249908503265,0.002200969739190134,0.0006007233921184081,0.00449785329728993,0.0020242863885670728,0.019584087392633315,0.0449154317762482,0.003639677022835061,0.04017274583595203,0.0018804156602025802,0.0004619007594860029,0.0012367834543614285,0.03659869405763411,0.0008531281787227813,0.0010500039122741923,0.0038012160862618597,0.04514512013205819,0.005616006501947303,0.0008783686573832186,0.0007723586470093818,5.0480957320874636e-05,0.00025745288233646065,0.0004215159936293032,0.0006082955357165393,0.00015396691982866764,0.0023069797495639706,0.0006234398229128017,0.0004820931424143527,0.00012872644116823033,1.0096191464174926e-05,0.00010853405823988046,2.776452652648105e-05,5.8053100919005826e-05,0.0001514428719626239,1.2620239330218659e-05,4.543286158878717e-05,1.2620239330218659e-05,3.028857439252478e-05,2.5240478660437316e-06,5.048095732087463e-06,0.006153628697414618,9.086572317757433e-05,0.0008026472214019067,0.0004063717064330408,0.0016330589693302944,0.0005981993442523643,0.00011610620183801165,0.00040132361070095333,0.00012115429757009912,0.00013377453690031777,0.0001918276378193236,0.0001514428719626239,0.00021202002074767346,0.00018173144635514867,5.0480957320874636e-05,0.0001514428719626239,7.319738811526822e-05,4.290881372274344e-05,3.281262225856851e-05,5.55290530529621e-05,0.0381736999260454,0.06404519055299365
4,0.013229107844194737,0.009168374501132564,0.049356944805751014,0.04657153552824431,0.05878968996723919,0.1656842652927852,0.07318837361284715,0.11077976655013208,0.0006154548973078607,0.0023201169152808356,0.0022587829220783342,0.002011331983985483,0.003411439001228795,0.015957413059064635,0.008311813561580386,0.03294058428030904,0.0018336749002265129,0.000611224966742171,0.005543324006336436,0.0027008106661929143,0.028742378193861946,0.06712688311221371,0.005862683764046014,0.058485134966509526,0.0033585648691576726,0.0004758671886400985,0.0016644776775989222,0.056224237079148344,0.0016792824345788363,0.0012626342738583946,0.004913064352048661,0.06432878404300993,0.006761544009255088,0.0010130683704826986,0.0011336213916048569,0.00019034687545603938,0.00023899107696147168,0.0011590009749989955,0.0009728840301086458,0.00031301486186104257,0.002802328999769469,0.000573155591650963,0.0007169732308844151,0.00039549850789199293,4.441427093974252e-05,0.00023264618111293702,6.3448958485346466e-06,4.864420150543229e-05,0.00028763527846690395,7.402378489957087e-05,3.383944452551811e-05,2.114965282844882e-05,5.075916678827717e-05,1.4804756979914174e-05,1.057482641422441e-05,0.008849014743422987,0.00028975024374974887,0.0005583508346710488,0.0005266263554283756,0.0016623627123160773,0.0006196848278735504,0.0001417026739506071,0.00024110604224431657,0.00015016253508198663,0.0002030366671531087,0.00032781961884095675,0.00024533597281000633,0.0004251080218518213,0.000484327049771478,0.00012055302112215829,0.00024110604224431657,0.0001057482641422441,9.305847244517481e-05,3.5954409808362993e-05,0.00018188701432465985,0.04228238593463488,0.025711632943545233
5,0.013363954314630203,0.004947108926405963,0.056295486646110046,0.019745519744570277,0.030975069624500532,0.2110534805034308,0.12043927714330095,0.15996107940098434,0.00040675216184406465,0.001318241600150092,0.0010968256240949195,0.0009297192270721478,0.0016797990773448161,0.006124449450884581,0.003448088587658509,0.013979209685486771,0.0008089468764965992,0.0002259734232467026,0.002262772530594713,0.0014109096930445381,0.014498378878055246,0.04458816438560105,0.003029942807835619,0.05495028015007673,0.0014082511821828121,0.00021989682699132906,0.000919464970891205,0.058121124033583826,0.0009282000780083045,0.0009882064660301179,0.004481869525603928,0.07718644478481823,0.008341267722298032,0.001242284146957923,0.001293175640596676,0.00016710639702277166,8.431277304330752e-05,0.0007128606982085055,0.0009787117843810967,0.0002286319341084285,0.0037002673322565098,0.0006665266517612824,0.0006331053723567282,0.0001929319311081091,4.975213184087065e-05,0.00011165745619248834,1.1013830712864495e-05,8.127447491562077e-05,0.00010861915806480159,2.4686172287454906e-05,4.1776599255692914e-05,3.8358513862045316e-05,3.3421279404554334e-05,4.139681198973207e-05,1.2532979776707875e-05,0.008163527281828356,0.0001826776749271663,0.0005244862142919265,0.0005066362127917668,0.0016984086533768975,0.00047701280604682094,0.00013634362847994325,0.0002856000240025552,0.00016102980076739814,0.00019976810189540432,0.00023736704122552792,0.00015875107717163307,0.00022141597605517246,0.0002931957693217721,7.405851686236472e-05,0.0001496361827885728,0.00013824256480974746,5.962660075585262e-05,7.89957513198557e-05,8.849043296887682e-05,0.029678096111244247,0.02589807345313596
6,0.00737455237494651,0.002598008303116296,0.023434626097009827,0.008631562352199276,0.016632977485492067,0.15093363137466873,0.16182631021823832,0.2251422640631217,0.0003434607328663769,0.0009158952876436717,0.0008750741349669302,0.0007638716845716688,0.0007971854988251015,0.0033069825754675195,0.002313667860333476,0.0062766041305376006,0.0006165401680142339,0.00021114389315555956,0.002006336193629273,0.001339590699909161,0.009518366703452625,0.048471599738744625,0.0035983611480221917,0.06901073924761454,0.0017632861121746506,0.0004077423181159583,0.0011035787482263912,0.07303232659925077,0.0011106168779982434,0.0010087986006321178,0.004422760748631787,0.0953427287673701,0.008937955601600565,0.001409971997627681,0.0014704999136656081,0.00017548403564484285,7.788863614182864e-05,0.000688798300338581,0.0010116138525408586,0.00027214101784494345,0.004053493539935287,0.000665337867765741,0.0006057483690307276,0.00017360720103901564,6.381237659812467e-05,0.0001379473435282989,1.6422302800987964e-05,5.6305038174815885e-05,0.00010932561578943417,3.143697964760553e-05,2.956014504177834e-05,3.894431807091432e-05,3.753669211654392e-05,1.923755470972876e-05,1.2199424937876775e-05,0.008094787654932697,0.0001454546819516077,0.0005015840484073182,0.0004823464936975894,0.0018599430943747513,0.0005245752723287013,0.0001454546819516077,0.00021771281427595475,0.00012480950128750855,0.0001933139644002012,0.00027167180919348665,0.0002369503689856835,0.00020222892877788039,0.00031155454456731455,0.00012480950128750855,0.00025102662852938745,0.00016609986261570685,7.319654962726065e-05,6.193554199229747e-05,7.695021883891503e-05,0.02882254904168825,0.011884585932749263
7,0.00628966059576311,0.00242405592962165,0.0159171863729244,0.00581162422985888,0.00879792690507385,0.07132128460084992,0.07566904117776764,0.27030028123417593,0.00025294771944203975,0.0007754636280015974,0.0007377905634038469,0.0005510081422889489,0.0006626027243957312,0.002753299519383504,0.0019925568788087588,0.004780521949229689,0.000482310200963639,0.000152433450452243,0.001471307291748285,0.0008479605338241595,0.006448900524272929,0.027498171352610228,0.0032861042901231197,0.07117170037377062,0.002199758734096387,0.0006301532359817023,0.0016766096647872872,0.11970442156729129,0.0018777964929542663,0.0018379073657331187,0.007616607236615813,0.15895912171739787,0.02515436854799303,0.003704465255383014,0.003835054659976057,0.0006223970167998124,0.00015607412476210963,0.0022402810220670767,0.0026318909456588204,0.0007683405695692497,0.009108017382162057,0.0018602262821544751,0.0019694465114504746,0.0005733270587103054,0.0001760186883726835,0.0004324487919372044,3.260777860141439e-05,0.00021986507027846886,0.0004322905017498189,0.00010146401011410982,0.00014863448595499082,8.990882643496782e-05,0.00012774018122010394,5.461011464799982e-05,3.6565033286052056e-05,0.011736584233885782,0.0003814793515990712,0.0011453877959215267,0.001022712900697759,0.003491090082787351,0.0010184390656383503,0.00026972647930490346,0.0005461011464799982,0.00026735212649412084,0.00038923557078096105,0.0005639879376545605,0.0004982975098895752,0.0006326858789798704,0.0007973076738607974,0.0002901459134776338,0.0006258794009222936,0.00029030420366501933,0.00025326429981681076,9.62404339303881e-05,0.00020276973004083412,0.03679344602644934,0.009313003174826289
8,0.008607768403922744,0.01323283799409019,0.009892509956747035,0.01391803348892981,0.011005952635861418,0.04038370947711019,0.027921716414714574,0.05019056999700227,0.08513554023382296,0.239861247912295,0.053188300286925616,0.031133570296775298,0.00689477966682369,0.015159950323326624,0.04552267568840735,0.023682069290394417,0.03832812299259132,0.0032118538820607254,0.00689477966682369,0.0014560404265341956,0.011091602072716372,0.02141235921373817,0.0019699370476639116,0.02351077041668451,0.00304055500835082,0.001027793242259432,0.0004710719027022397,0.023467945698257033,0.000642370776412145,0.0002997730289923344,0.002098411202946341,0.028178664725279433,0.003297503318915678,0.0011990921159693376,0.0005995460579846688,0.00017129887370990535,4.282471842747634e-05,0.0004710719027022397,0.00017129887370990535,0.0,0.0002141235921373817,4.282471842747634e-05,0.0039826988137553,8.564943685495268e-05,0.0,0.000128474155282429,0.000256948310564858,8.564943685495268e-05,8.564943685495268e-05,0.0,0.00017129887370990535,0.0,0.0,0.0,0.0,0.00304055500835082,4.282471842747634e-05,4.282471842747634e-05,0.000256948310564858,0.00128474155282429,0.0002141235921373817,0.000128474155282429,0.000128474155282429,0.0002141235921373817,4.282471842747634e-05,4.282471842747634e-05,4.282471842747634e-05,0.0007708449316945742,0.0,8.564943685495268e-05,0.0,8.564943685495268e-05,0.0,0.0002141235921373817,0.000128474155282429,0.13279945184360412,0.006595006637831356
9,0.00845406349993506,0.015585703659098154,0.01212614974082864,0.012858205518755977,0.011488552772956443,0.03432397010378662,0.016660172623475376,0.04358093348919037,0.06608574498482755,0.19006293318219925,0.0753545157214882,0.020875397022186014,0.00850129290496263,0.015774621279208437,0.055825156742587936,0.024264106832914172,0.05427839372793501,0.00952853246431228,0.02276457322328882,0.003247021595645449,0.014015325941931446,0.022658307061976787,0.004498600828876058,0.021796370420223633,0.008147072367255854,0.0009800101543220808,0.0008619366417531555,0.024464831804281346,0.001239771881973717,0.0010390469106065436,0.0021489379287544423,0.02536219049980518,0.00655307994757536,0.0010862763156341138,0.0009918175055789735,0.0,0.0,0.0007792851829549077,0.0002597617276516359,0.0001416882150827105,0.001287001287001287,0.000283376430165421,0.001003624856835866,0.0006139822653584121,2.361470251378508e-05,0.0004604866990188091,0.0,2.361470251378508e-05,0.00012988086382581795,1.180735125689254e-05,1.180735125689254e-05,4.722940502757016e-05,1.180735125689254e-05,0.0,0.0,0.0036720862408935804,0.00016530291759649557,0.0003424131864498837,0.000720248426670445,0.0011216983694047914,0.0006139822653584121,5.90367562844627e-05,0.0001180735125689254,8.265145879824778e-05,0.00010626616131203287,0.00015349556633960303,0.00030699113267920606,0.0003660278889636688,0.000283376430165421,9.445881005514033e-05,0.0001416882150827105,8.265145879824778e-05,5.90367562844627e-05,0.00012988086382581795,0.00012988086382581795,0.13956289185646983,0.009115275170321041
